lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14,theta.1,theta.2
# Adaptation terminated
# Step size = 0.0396874
# Diagonal elements of inverse mass matrix:
# 0.268873, 0.141979, 0.0239345, 0.0152947, 0.0356757, 0.0771784, 0.167355, 7.77174, 12.2156, 137.987, 4883.22, 42529.5, 50539.4, 30078.3, 518.341, 6.54159, 1.75563, 1.34599, 0.495271, 0.370945, 0.160419, 0.0596221, 0.0935448, 0.0697433, 0.0714971, 0.232317, 0.0445972
-1374.23,0.746833,0.0396874,2,7,1,1388.7,0.00608862,0.0311889,0.130617,0.219853,0.288353,0.189822,0.0689591,0.0526639,0.000895083,0.011559,1.35042e-09,2.63533e-114,9.09837e-247,2.54358e-23,1.87743e-69,3.96368e-16,0.000237436,0.0189819,0.0339433,0.0296001,0.153694,0.213015,0.178914,0.0687681,0.0729904,0.0943489,0.0804967,0.0550099,0.640976,0.359024
-1374.56,0.666179,0.0396874,1,3,1,1389.88,0.00581322,0.0320126,0.130461,0.218553,0.287602,0.18975,0.0690067,0.0540827,0.000853984,0.0118665,6.53705e-10,5.63276e-115,5.09158e-250,4.72424e-22,4.39507e-69,2.22145e-16,0.000239657,0.0190438,0.0328091,0.0308188,0.15538,0.213144,0.177781,0.0686185,0.0725327,0.0949774,0.0798614,0.0547936,0.644731,0.355269
-1376.11,0.977265,0.0396874,5,54,1,1387.53,0.00615791,0.0348192,0.130814,0.222178,0.28665,0.182358,0.0734729,0.0508059,0.000725168,0.0120202,1.10104e-08,1.73103e-126,2.73522e-248,4.77283e-21,2.02531e-60,1.66639e-13,0.000206102,0.0292686,0.0237893,0.0393592,0.17728,0.210169,0.165669,0.067071,0.0715339,0.0930361,0.0732185,0.0493981,0.644539,0.355461
-1376.59,0.929058,0.0396874,4,18,1,1389.71,0.00533591,0.0316544,0.129237,0.216943,0.297808,0.1816,0.0798361,0.0384645,0.000186381,0.0189345,1.04447e-07,2.91464e-134,5.71817e-167,1.88007e-08,3.35677e-97,1.44407e-15,0.000248967,0.0361129,0.0591052,0.0219769,0.106485,0.187462,0.198766,0.0731577,0.0832655,0.10839,0.0779948,0.047035,0.65986,0.34014
-1373.26,0.98277,0.0396874,6,127,1,1388,0.00452613,0.0255458,0.139766,0.26438,0.235,0.126712,0.0916309,0.111755,0.000496763,0.000186832,4.74259e-07,2.27809e-129,1.17352e-121,1.69584e-14,3.89188e-14,6.12781e-05,0.00384058,0.00227774,0.0109603,0.122251,0.0684873,0.1246,0.16761,0.0936723,0.0856935,0.132391,0.133364,0.0547921,0.686533,0.313467
-1372.2,0.483707,0.0396874,5,33,1,1382.29,0.00414501,0.0207172,0.142951,0.268759,0.243157,0.113069,0.0946383,0.111342,0.000559903,0.000599636,6.06498e-05,1.21739e-106,1.01651e-119,6.7535e-10,3.74768e-37,7.85484e-05,0.00480308,0.00176589,0.0154142,0.116239,0.081266,0.103289,0.18241,0.10253,0.078751,0.12572,0.130026,0.0577081,0.700297,0.299703
-1375.42,0.646908,0.0396874,5,34,1,1382.69,0.00508985,0.0186483,0.139079,0.265224,0.223034,0.117813,0.0923253,0.137182,0.00056571,0.000777281,0.000261434,1.82912e-114,2.29109e-199,5.1498e-15,8.24684e-76,0.001034,0.0276026,0.00161258,0.0103172,0.113137,0.0788768,0.0894043,0.193645,0.113789,0.0772248,0.112427,0.133182,0.0477483,0.705125,0.294875
-1381.08,0.985555,0.0396874,6,63,0,1390.02,0.0124218,0.0142853,0.143575,0.249585,0.241434,0.181346,0.0579035,0.0924681,0.00485689,1.04576e-06,0.00206215,7.36985e-68,3.61759e-240,6.14096e-05,3.21738e-56,1.95999e-13,0.000249314,0.0400795,0.0934684,0.028522,0.138026,0.0351166,0.215143,0.0779158,0.0902973,0.106419,0.141027,0.0337375,0.695792,0.304208
-1380.15,0.835399,0.0396874,6,72,1,1397.66,0.00988853,0.0141606,0.148175,0.25271,0.224672,0.178215,0.0688837,0.0960969,0.0045792,7.50282e-05,4.89859e-16,1.46231e-81,9.14052e-216,0.00254427,1.39623e-75,4.53632e-09,0.000902579,0.0658943,0.0642642,0.0271797,0.142836,0.0304686,0.196798,0.087652,0.0958935,0.10717,0.146817,0.0341242,0.691869,0.308131
-1377.82,0.962887,0.0396874,4,27,1,1389.93,0.00777082,0.0156709,0.145033,0.247803,0.236849,0.176351,0.0618486,0.106049,0.00154209,0.00103823,2.1985e-25,4.0918e-97,1.24995e-262,4.4959e-05,1.41962e-72,0.00427359,0.000938802,0.0410979,0.0606599,0.0169155,0.0978915,0.0293889,0.205014,0.110629,0.0979584,0.142148,0.144826,0.0482584,0.708118,0.291882
-1378.41,0.859611,0.0396874,3,10,1,1395.91,0.00941199,0.0180502,0.143227,0.247521,0.232775,0.175344,0.0660464,0.103266,0.00150293,0.00224637,5.50432e-28,1.78672e-128,1.23115e-250,0.000608922,2.22933e-37,0.000383838,0.000789971,0.0485878,0.0524374,0.0195002,0.085415,0.0301802,0.208229,0.119548,0.102971,0.143418,0.148268,0.040272,0.706636,0.293364
-1378.73,0.856651,0.0396874,2,7,1,1389.56,0.00950026,0.0173152,0.143476,0.248316,0.23605,0.174058,0.0629677,0.104014,0.00158162,0.00197486,1.52374e-24,3.32038e-130,2.83061e-243,0.000746584,1.38708e-24,0.000398552,0.00069318,0.05081,0.0507014,0.0185798,0.0848683,0.0303846,0.208456,0.116966,0.103136,0.147816,0.146716,0.0404743,0.705982,0.294018
-1378.75,0.835485,0.0396874,3,12,1,1393.36,0.00926966,0.0168985,0.144293,0.247127,0.239174,0.173799,0.062496,0.101544,0.00180329,0.00328162,8.23307e-23,1.6515e-121,5.38965e-259,0.000315031,2.9151e-19,4.74182e-05,0.000678421,0.0467662,0.0483962,0.0185591,0.0879695,0.0298507,0.206031,0.11676,0.100292,0.151638,0.14943,0.043582,0.706407,0.293593
-1378.52,0.833333,0.0396874,2,6,1,1390.49,0.009651,0.0169937,0.145682,0.24562,0.239858,0.172285,0.0615727,0.102181,0.00192734,0.00407589,2.66499e-21,2.17486e-123,2.02344e-261,0.000153996,9.50572e-34,0.000198773,0.000735458,0.0475372,0.0496606,0.0203647,0.0902184,0.0307136,0.201957,0.113093,0.102419,0.150627,0.150962,0.0415135,0.707507,0.292493
-1378.19,0.905554,0.0396874,3,12,1,1392.19,0.0102733,0.0161234,0.146139,0.242843,0.237381,0.17394,0.063667,0.102252,0.0035504,0.00325342,5.41059e-16,6.0221e-132,1.17256e-237,0.000577269,4.40794e-48,0.0108548,0.000994627,0.0453728,0.0463845,0.0194241,0.0889538,0.0311325,0.208343,0.109978,0.102663,0.148777,0.148399,0.0387229,0.702053,0.297947
-1380.62,0.433973,0.0396874,5,41,1,1395.69,0.0114891,0.0172578,0.135711,0.241544,0.243042,0.174092,0.0692365,0.0964672,0.00519255,0.00579035,1.05314e-16,7.2151e-93,1.98526e-245,0.000177126,5.58841e-57,6.6521e-08,0.000399771,0.0618119,0.0601458,0.020501,0.0643894,0.031542,0.206486,0.108453,0.0967435,0.156173,0.158531,0.0348244,0.702717,0.297283
-1378.5,0.971095,0.0396874,5,36,1,1398.91,0.0105016,0.0186643,0.119327,0.266625,0.214121,0.187008,0.0964931,0.0855449,0.00166067,6.5348e-06,2.4021e-06,1.22146e-59,2.93073e-78,4.54375e-05,1.46437e-205,1.10111e-12,3.73784e-05,0.00454113,0.0165598,0.039299,0.144421,0.0754197,0.191054,0.124661,0.0785389,0.128166,0.158439,0.0388621,0.72941,0.27059
