lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y8.1,y8.2,yj_remain.1,yj_remain.2,yj_remain.3,yj_remain.4,yj_remain.5,yj_remain.6,yj_remain.7,yj_remain.8,yj_remain.9,yj_remain.10,yj_remain.11,yj_remain.12,yj_remain.13,yb_remain.1,yb_remain.2,yb_remain.3,yb_remain.4,yb_remain.5,yb_remain.6,yb_remain.7,yb_remain.8,yb_remain.9,yb_remain.10,yb_remain.11,yb_remain.12,yb_remain.13,theta.1,theta.2,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14
# Adaptation terminated
# Step size = 0.00067277
# Diagonal elements of inverse mass matrix:
# 0.235893, 0.141447, 0.137806, 0.130996, 0.137676, 0.139175, 0.126518, 0.139045, 0.172399, 0.190852, 0.188924, 0.189249, 0.19926, 0.21262, 0.22919, 0.242915, 0.23771, 0.232248, 0.227536, 0.271127, 0.297892, 0.257967, 0.187021, 0.172475, 0.212104, 0.234796, 0.213824, 0.180791, 0.135063
-1094.13,0.954499,0.00067277,13,12287,0,1116.79,-3.1693,-1.10699,-6.27441,-3.06163,-1.67732,-1.04749,-1.58918,-2.11166,-2.52999,-3.13098,-4.37322,-6.52866,-9.67533,-14.3326,-24.3149,-10.6411,-7.07329,-5.44085,-4.19467,-2.48388,-2.2518,-2.51667,-3.01259,-3.20959,-2.92312,-2.49057,-2.36262,-3.21675,0.724185,0.275815,-6.27441,-3.06163,-1.67732,-1.04749,-1.10699,-1.58918,-2.11166,-2.52999,-3.13098,-4.37322,-6.52866,-9.67533,-14.3326,-24.3149,-10.6411,-7.07329,-5.44085,-4.19467,-3.1693,-2.48388,-2.2518,-2.51667,-3.01259,-3.20959,-2.92312,-2.49057,-2.36262,-3.21675
-1095.81,0.971507,0.00067277,13,16383,0,1117.72,-3.50797,-0.767054,-6.1418,-2.95173,-1.56239,-0.835608,-1.0486,-1.40255,-2.06203,-3.36434,-5.20643,-7.32272,-10.0016,-14.4106,-24.5292,-10.4593,-6.86058,-5.15942,-4.14077,-2.88089,-2.2904,-2.07913,-2.19442,-2.27222,-2.17106,-2.00567,-1.99185,-2.76518,0.776171,0.223829,-6.1418,-2.95173,-1.56239,-0.835608,-0.767054,-1.0486,-1.40255,-2.06203,-3.36434,-5.20643,-7.32272,-10.0016,-14.4106,-24.5292,-10.4593,-6.86058,-5.15942,-4.14077,-3.50797,-2.88089,-2.2904,-2.07913,-2.19442,-2.27222,-2.17106,-2.00567,-1.99185,-2.76518
-1096.17,0.960977,0.00067277,11,4095,0,1119.42,-3.42352,-0.836596,-6.28668,-2.86557,-1.45863,-0.910169,-0.986543,-1.35551,-2.14896,-3.4852,-5.22454,-7.26874,-9.98002,-14.4617,-24.5468,-10.5185,-6.68223,-5.11085,-4.17001,-2.82251,-2.39084,-2.18086,-2.24316,-2.37937,-2.27009,-1.94084,-1.81199,-2.62469,0.790275,0.209725,-6.28668,-2.86557,-1.45863,-0.910169,-0.836596,-0.986543,-1.35551,-2.14896,-3.4852,-5.22454,-7.26874,-9.98002,-14.4617,-24.5468,-10.5185,-6.68223,-5.11085,-4.17001,-3.42352,-2.82251,-2.39084,-2.18086,-2.24316,-2.37937,-2.27009,-1.94084,-1.81199,-2.62469
-1094.79,0.753827,0.00067277,13,8191,0,1105.78,-3.03851,-1.21057,-6.09136,-3.0127,-1.80897,-1.2612,-1.35925,-1.61901,-2.19102,-3.2182,-4.73645,-6.89538,-10.0017,-14.7757,-25.0144,-11.3379,-7.47565,-5.39272,-3.9222,-2.65117,-2.59672,-2.69341,-2.73459,-2.5694,-2.22744,-1.9065,-1.85803,-2.75167,0.758145,0.241855,-6.09136,-3.0127,-1.80897,-1.2612,-1.21057,-1.35925,-1.61901,-2.19102,-3.2182,-4.73645,-6.89538,-10.0017,-14.7757,-25.0144,-11.3379,-7.47565,-5.39272,-3.9222,-3.03851,-2.65117,-2.59672,-2.69341,-2.73459,-2.5694,-2.22744,-1.9065,-1.85803,-2.75167
-1096.28,0.975324,0.00067277,13,8191,0,1111.29,-3.88778,-2.07068,-6.83205,-3.76551,-2.60243,-2.09328,-2.24761,-2.45025,-2.97174,-4.06864,-5.67473,-7.81065,-10.7946,-15.3851,-25.2042,-11.1345,-7.3693,-5.68605,-4.64245,-3.29896,-2.96068,-2.89747,-2.76631,-2.27121,-1.64388,-1.33804,-1.6079,-2.79001,0.825384,0.174616,-6.83205,-3.76551,-2.60243,-2.09328,-2.07068,-2.24761,-2.45025,-2.97174,-4.06864,-5.67473,-7.81065,-10.7946,-15.3851,-25.2042,-11.1345,-7.3693,-5.68605,-4.64245,-3.88778,-3.29896,-2.96068,-2.89747,-2.76631,-2.27121,-1.64388,-1.33804,-1.6079,-2.79001
-1093.97,0.998466,0.00067277,12,8191,0,1108.45,-3.4577,-2.28832,-6.55342,-3.68094,-2.79362,-2.42657,-2.37528,-2.64658,-3.07448,-3.89758,-5.43716,-7.73835,-10.7846,-15.2855,-25.0803,-11.3431,-7.59037,-5.74065,-4.42046,-2.88975,-2.73622,-2.80404,-2.77524,-2.55706,-2.23446,-1.89235,-1.81099,-2.71254,0.803295,0.196705,-6.55342,-3.68094,-2.79362,-2.42657,-2.28832,-2.37528,-2.64658,-3.07448,-3.89758,-5.43716,-7.73835,-10.7846,-15.2855,-25.0803,-11.3431,-7.59037,-5.74065,-4.42046,-3.4577,-2.88975,-2.73622,-2.80404,-2.77524,-2.55706,-2.23446,-1.89235,-1.81099,-2.71254
-1086.45,0.999202,0.00067277,13,8191,0,1105.37,-4.05587,-2.10646,-6.96924,-3.80756,-2.56781,-2.07389,-2.32013,-2.56361,-3.0957,-4.21605,-5.93727,-8.18739,-11.1282,-15.5086,-25.1545,-10.5476,-6.91974,-5.6644,-4.90291,-3.16208,-2.57306,-2.51993,-2.82669,-3.04298,-2.86498,-2.46691,-2.3625,-3.24314,0.750918,0.249082,-6.96924,-3.80756,-2.56781,-2.07389,-2.10646,-2.32013,-2.56361,-3.0957,-4.21605,-5.93727,-8.18739,-11.1282,-15.5086,-25.1545,-10.5476,-6.91974,-5.6644,-4.90291,-4.05587,-3.16208,-2.57306,-2.51993,-2.82669,-3.04298,-2.86498,-2.46691,-2.3625,-3.24314
-1086.37,0.89207,0.00067277,13,8191,0,1102.81,-3.65847,-1.69462,-6.68094,-3.57373,-2.40167,-1.83516,-1.82864,-2.13218,-2.71649,-3.86736,-5.70036,-8.06078,-11,-15.3729,-25.0805,-11.1692,-7.26589,-5.4594,-4.33926,-3.28272,-3.0902,-2.95282,-2.75151,-2.47078,-2.18988,-2.04746,-2.25548,-3.29073,0.802639,0.197361,-6.68094,-3.57373,-2.40167,-1.83516,-1.69462,-1.82864,-2.13218,-2.71649,-3.86736,-5.70036,-8.06078,-11,-15.3729,-25.0805,-11.1692,-7.26589,-5.4594,-4.33926,-3.65847,-3.28272,-3.0902,-2.95282,-2.75151,-2.47078,-2.18988,-2.04746,-2.25548,-3.29073
-1087.05,0.979239,0.00067277,13,8191,0,1098.99,-3.64133,-1.81995,-6.97744,-3.59782,-2.33365,-1.85102,-1.99423,-2.25216,-2.79409,-3.90465,-5.63198,-7.89725,-10.8441,-15.2739,-25.0728,-11.1936,-7.44676,-5.72219,-4.50018,-3.23598,-3.12487,-3.06959,-3.00058,-2.82859,-2.45257,-2.07327,-2.11605,-3.19822,0.829785,0.170215,-6.97744,-3.59782,-2.33365,-1.85102,-1.81995,-1.99423,-2.25216,-2.79409,-3.90465,-5.63198,-7.89725,-10.8441,-15.2739,-25.0728,-11.1936,-7.44676,-5.72219,-4.50018,-3.64133,-3.23598,-3.12487,-3.06959,-3.00058,-2.82859,-2.45257,-2.07327,-2.11605,-3.19822
-1088.57,0.754339,0.00067277,14,16383,0,1102.58,-2.87721,-1.41242,-6.57496,-3.42114,-2.14232,-1.53679,-1.5821,-2.00094,-2.77827,-3.98893,-5.62163,-7.6787,-10.3949,-14.7104,-24.5905,-10.3314,-6.50919,-4.65465,-3.51635,-2.46158,-2.08739,-1.85426,-1.88752,-2.03871,-2.00168,-1.75819,-1.79096,-3.03495,0.690272,0.309728,-6.57496,-3.42114,-2.14232,-1.53679,-1.41242,-1.5821,-2.00094,-2.77827,-3.98893,-5.62163,-7.6787,-10.3949,-14.7104,-24.5905,-10.3314,-6.50919,-4.65465,-3.51635,-2.87721,-2.46158,-2.08739,-1.85426,-1.88752,-2.03871,-2.00168,-1.75819,-1.79096,-3.03495
